m	n	result	time
1000000	1000	false	10000
1000000	1000	false	800
1000000	1000	false	600
1000000	1000	false	400
1000000	1000	false	400
1000000	1000	false	300
1000000	1000	false	300
1000000	1000	false	300
1000000	1000	false	200
1000000	1000	false	200
1000000	2000	false	900
1000000	2000	false	500
1000000	2000	false	400
1000000	2000	false	300
1000000	2000	false	200
1000000	2000	false	300
1000000	2000	false	200
1000000	2000	false	200
1000000	2000	false	200
1000000	2000	false	200
1000000	3000	false	2600
1000000	3000	false	800
1000000	3000	false	600
1000000	3000	false	600
1000000	3000	false	4000
1000000	3000	false	1300
1000000	3000	false	700
1000000	3000	false	600
1000000	3000	false	500
1000000	3000	false	500
1000000	4000	false	1000
1000000	4000	false	700
1000000	4000	false	1100
1000000	4000	false	600
1000000	4000	false	500
1000000	4000	false	600
1000000	4000	false	3100
1000000	4000	false	14400
1000000	4000	false	500
1000000	4000	false	400
1000000	5000	false	900
1000000	5000	false	500
1000000	5000	false	500
1000000	5000	false	400
1000000	5000	false	400
1000000	5000	false	400
1000000	5000	false	300
1000000	5000	false	400
1000000	5000	false	300
1000000	5000	false	300
1000000	6000	true	3900
1000000	6000	true	2200
1000000	6000	true	1800
1000000	6000	true	1700
1000000	6000	true	1600
1000000	6000	true	1400
1000000	6000	true	4400
1000000	6000	true	2100
1000000	6000	true	1600
1000000	6000	true	1500
1000000	7000	false	3000
1000000	7000	false	2500
1000000	7000	false	2100
1000000	7000	false	1700
1000000	7000	false	1800
1000000	7000	false	1500
1000000	7000	false	1400
1000000	7000	false	1800
1000000	7000	false	2700
1000000	7000	false	2000
1000000	8000	false	2700
1000000	8000	false	1400
1000000	8000	false	1200
1000000	8000	false	1100
1000000	8000	false	1100
1000000	8000	false	1000
1000000	8000	false	1000
1000000	8000	false	1000
1000000	8000	false	1000
1000000	8000	false	1000
1000000	9000	false	3800
1000000	9000	false	1800
1000000	9000	false	1400
1000000	9000	false	1300
1000000	9000	false	22400
1000000	9000	false	2000
1000000	9000	false	1400
1000000	9000	false	1600
1000000	9000	false	1600
1000000	9000	false	1600
1000000	10000	false	2900
1000000	10000	false	1500
1000000	10000	false	1100
1000000	10000	false	1000
1000000	10000	false	7100
1000000	10000	false	1100
1000000	10000	false	1000
1000000	10000	false	1000
1000000	10000	false	900
1000000	10000	false	1000
1000000	11000	false	1600
1000000	11000	false	600
1000000	11000	false	600
1000000	11000	false	500
1000000	11000	false	500
1000000	11000	false	600
1000000	11000	false	500
1000000	11000	false	500
1000000	11000	false	500
1000000	11000	false	500
1000000	12000	false	1000
1000000	12000	false	600
1000000	12000	false	500
1000000	12000	false	500
1000000	12000	false	500
1000000	12000	false	500
1000000	12000	false	400
1000000	12000	false	500
1000000	12000	false	500
1000000	12000	false	400
1000000	13000	false	1000
1000000	13000	false	600
1000000	13000	false	600
1000000	13000	false	500
1000000	13000	false	500
1000000	13000	false	2200
1000000	13000	false	500
1000000	13000	false	1500
1000000	13000	false	500
1000000	13000	false	500
1000000	14000	false	2000
1000000	14000	false	1000
1000000	14000	false	1600
1000000	14000	false	800
1000000	14000	false	800
1000000	14000	false	800
1000000	14000	false	800
1000000	14000	false	800
1000000	14000	false	800
1000000	14000	false	800
1000000	15000	false	1200
1000000	15000	false	1100
1000000	15000	false	900
1000000	15000	false	800
1000000	15000	false	800
1000000	15000	false	800
1000000	15000	false	900
1000000	15000	false	800
1000000	15000	false	800
1000000	15000	false	800
1000000	16000	false	1700
1000000	16000	false	800
1000000	16000	false	700
1000000	16000	false	1500
1000000	16000	false	700
1000000	16000	false	600
1000000	16000	false	700
1000000	16000	false	600
1000000	16000	false	600
1000000	16000	false	600
1000000	17000	false	1900
1000000	17000	false	700
1000000	17000	false	600
1000000	17000	false	600
1000000	17000	false	600
1000000	17000	false	600
1000000	17000	false	600
1000000	17000	false	600
1000000	17000	false	600
1000000	17000	false	600
1000000	18000	false	1800
1000000	18000	false	800
1000000	18000	false	600
1000000	18000	false	600
1000000	18000	false	500
1000000	18000	false	600
1000000	18000	false	500
1000000	18000	false	500
1000000	18000	false	500
1000000	18000	false	500
1000000	19000	false	1600
1000000	19000	false	700
1000000	19000	false	700
1000000	19000	false	700
1000000	19000	false	3600
1000000	19000	false	1100
1000000	19000	false	2300
1000000	19000	false	1000
1000000	19000	false	800
1000000	19000	false	700
1000000	20000	false	2200
1000000	20000	false	900
1000000	20000	false	800
1000000	20000	false	800
1000000	20000	false	700
1000000	20000	false	700
1000000	20000	false	700
1000000	20000	false	800
1000000	20000	false	700
1000000	20000	false	800
1000000	21000	false	1600
1000000	21000	false	700
1000000	21000	false	600
1000000	21000	false	600
1000000	21000	false	700
1000000	21000	false	700
1000000	21000	false	1100
1000000	21000	false	1500
1000000	21000	false	1000
1000000	21000	false	15800
1000000	22000	false	1800
1000000	22000	false	900
1000000	22000	false	900
1000000	22000	false	700
1000000	22000	false	800
1000000	22000	false	800
1000000	22000	false	800
1000000	22000	false	800
1000000	22000	false	800
1000000	22000	false	800
1000000	23000	false	2200
1000000	23000	false	900
1000000	23000	false	900
1000000	23000	false	800
1000000	23000	false	800
1000000	23000	false	800
1000000	23000	false	800
1000000	23000	false	700
1000000	23000	false	800
1000000	23000	false	700
1000000	24000	false	9200
1000000	24000	false	1600
1000000	24000	false	1500
1000000	24000	false	1500
1000000	24000	false	600
1000000	24000	false	500
1000000	24000	false	500
1000000	24000	false	500
1000000	24000	false	500
1000000	24000	false	500
1000000	25000	false	2600
1000000	25000	false	900
1000000	25000	false	900
1000000	25000	false	800
1000000	25000	false	800
1000000	25000	false	800
1000000	25000	false	800
1000000	25000	false	800
1000000	25000	false	800
1000000	25000	false	900
1000000	26000	false	1900
1000000	26000	false	1000
1000000	26000	false	1200
1000000	26000	false	900
1000000	26000	false	1600
1000000	26000	false	1200
1000000	26000	false	800
1000000	26000	false	800
1000000	26000	false	800
1000000	26000	false	800
1000000	27000	false	7800
1000000	27000	false	600
1000000	27000	false	500
1000000	27000	false	600
1000000	27000	false	500
1000000	27000	false	500
1000000	27000	false	500
1000000	27000	false	400
1000000	27000	false	500
1000000	27000	false	500
1000000	28000	false	2000
1000000	28000	false	600
1000000	28000	false	500
1000000	28000	false	500
1000000	28000	false	500
1000000	28000	false	500
