m	n	result	time
1000000	1	true	2400
1000000	1	true	400
1000000	1	true	300
1000000	1	true	200
1000000	1	true	200
1000000	1	true	100
1000000	1	true	200
1000000	1	true	200
1000000	1	true	200
1000000	1	true	100
1000000	1001	true	200
1000000	1001	true	300
1000000	1001	true	200
1000000	1001	true	200
1000000	1001	true	100
1000000	1001	true	300
1000000	1001	true	100
1000000	1001	true	200
1000000	1001	true	100
1000000	1001	true	100
1000000	2001	true	200
1000000	2001	true	300
1000000	2001	true	200
1000000	2001	true	200
1000000	2001	true	200
1000000	2001	true	200
1000000	2001	true	100
1000000	2001	true	100
1000000	2001	true	200
1000000	2001	true	100
1000000	3001	true	200
1000000	3001	true	200
1000000	3001	true	100
1000000	3001	true	100
1000000	3001	true	100
1000000	3001	true	100
1000000	3001	true	100
1000000	3001	true	100
1000000	3001	true	100
1000000	3001	true	200
1000000	4001	true	800
1000000	4001	true	500
1000000	4001	true	300
1000000	4001	true	400
1000000	4001	true	400
1000000	4001	true	400
1000000	4001	true	500
1000000	4001	true	400
1000000	4001	true	200
1000000	4001	true	300
1000000	5001	true	1000
1000000	5001	true	500
1000000	5001	true	500
1000000	5001	true	300
1000000	5001	true	400
1000000	5001	true	400
1000000	5001	true	500
1000000	5001	true	400
1000000	5001	true	300
1000000	5001	true	300
1000000	6001	true	800
1000000	6001	true	400
1000000	6001	true	400
1000000	6001	true	300
1000000	6001	true	400
1000000	6001	true	300
1000000	6001	true	300
1000000	6001	true	300
1000000	6001	true	300
1000000	6001	true	300
1000000	7001	true	700
1000000	7001	true	400
1000000	7001	true	400
1000000	7001	true	400
1000000	7001	true	300
1000000	7001	true	300
1000000	7001	true	200
1000000	7001	true	200
1000000	7001	true	300
1000000	7001	true	300
1000000	8001	true	500
1000000	8001	true	400
1000000	8001	true	200
1000000	8001	true	200
1000000	8001	true	200
1000000	8001	true	200
1000000	8001	true	200
1000000	8001	true	200
1000000	8001	true	300
1000000	8001	true	200
1000000	9001	true	500
1000000	9001	true	400
1000000	9001	true	300
1000000	9001	true	300
1000000	9001	true	200
1000000	9001	true	300
1000000	9001	true	300
1000000	9001	true	300
1000000	9001	true	200
1000000	9001	true	300
1000000	10001	true	500
1000000	10001	true	400
1000000	10001	true	300
1000000	10001	true	400
1000000	10001	true	300
1000000	10001	true	200
1000000	10001	true	300
1000000	10001	true	200
1000000	10001	true	100
1000000	10001	true	200
1000000	11001	true	900
1000000	11001	true	600
1000000	11001	true	400
1000000	11001	true	400
1000000	11001	true	400
1000000	11001	true	300
1000000	11001	true	1600
1000000	11001	true	200
1000000	11001	true	200
1000000	11001	true	200
1000000	12001	true	700
1000000	12001	true	500
1000000	12001	true	300
1000000	12001	true	200
1000000	12001	true	200
1000000	12001	true	200
1000000	12001	true	200
1000000	12001	true	1100
1000000	12001	true	300
1000000	12001	true	200
1000000	13001	true	300
1000000	13001	true	300
1000000	13001	true	200
1000000	13001	true	200
1000000	13001	true	200
1000000	13001	true	100
1000000	13001	true	100
1000000	13001	true	100
1000000	13001	true	100
1000000	13001	true	100
1000000	14001	true	600
1000000	14001	true	500
1000000	14001	true	400
1000000	14001	true	400
1000000	14001	true	300
1000000	14001	true	400
1000000	14001	true	400
1000000	14001	true	400
1000000	14001	true	400
1000000	14001	true	400
1000000	15001	true	500
1000000	15001	true	200
1000000	15001	true	200
1000000	15001	true	100
1000000	15001	true	200
1000000	15001	true	200
1000000	15001	true	200
1000000	15001	true	200
1000000	15001	true	200
1000000	15001	true	200
1000000	16001	true	300
1000000	16001	true	100
1000000	16001	true	100
1000000	16001	true	200
1000000	16001	true	100
1000000	16001	true	100
1000000	16001	true	100
1000000	16001	true	200
1000000	16001	true	600
1000000	16001	true	300
1000000	17001	true	300
1000000	17001	true	300
1000000	17001	true	200
1000000	17001	true	300
1000000	17001	true	200
1000000	17001	true	100
1000000	17001	true	200
1000000	17001	true	200
1000000	17001	true	200
1000000	17001	true	200
1000000	18001	true	200
1000000	18001	true	100
1000000	18001	true	100
1000000	18001	true	200
1000000	18001	true	100
1000000	18001	true	100
1000000	18001	true	200
1000000	18001	true	100
1000000	18001	true	200
1000000	18001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	19001	true	100
1000000	20001	true	200
1000000	20001	true	200
1000000	20001	true	100
1000000	20001	true	200
1000000	20001	true	100
1000000	20001	true	100
1000000	20001	true	100
1000000	20001	true	100
1000000	20001	true	100
1000000	20001	true	200
1000000	21001	true	200
1000000	21001	true	300
1000000	21001	true	100
1000000	21001	true	100
1000000	21001	true	100
1000000	21001	true	100
1000000	21001	true	100
1000000	21001	true	0
1000000	21001	true	200
1000000	21001	true	100
1000000	22001	true	100
1000000	22001	true	200
1000000	22001	true	200
1000000	22001	true	100
1000000	22001	true	100
1000000	22001	true	100
1000000	22001	true	100
1000000	22001	true	200
1000000	22001	true	100
1000000	22001	true	100
1000000	23001	true	200
1000000	23001	true	100
1000000	23001	true	700
1000000	23001	true	100
1000000	23001	true	100
1000000	23001	true	100
1000000	23001	true	100
1000000	23001	true	100
1000000	23001	true	100
1000000	23001	true	200
1000000	24001	true	200
1000000	24001	true	200
1000000	24001	true	100
1000000	24001	true	100
1000000	24001	true	100
1000000	24001	true	100
1000000	24001	true	100
1000000	24001	true	100
1000000	24001	true	100
1000000	24001	true	200
1000000	25001	true	200
1000000	25001	true	200
1000000	25001	true	100
1000000	25001	true	100
1000000	25001	true	100
1000000	25001	true	100
1000000	25001	true	100
1000000	25001	true	100
1000000	25001	true	100
1000000	25001	true	100
1000000	26001	true	200
1000000	26001	true	200
1000000	26001	true	100
1000000	26001	true	100
1000000	26001	true	100
1000000	26001	true	100
1000000	26001	true	100
1000000	26001	true	0
1000000	26001	true	100
1000000	26001	true	100
1000000	27001	true	100
1000000	27001	true	100
1000000	27001	true	100
1000000	27001	true	0
1000000	27001	true	100
1000000	27001	true	100
1000000	27001	true	100
1000000	27001	true	100
1000000	27001	true	100
1000000	27001	true	100
1000000	28001	true	200
1000000	28001	true	200
1000000	28001	true	100
1000000	28001	true	100
1000000	28001	true	100
1000000	28001	true	100
1000000	28001	true	200
1000000	28001	true	100
1000000	28001	true	100
1000000	28001	true	100
1000000	29001	true	200
1000000	29001	true	200
1000000	29001	true	100
1000000	29001	true	100
1000000	29001	true	200
1000000	29001	true	100
1000000	29001	true	100
1000000	29001	true	100
1000000	29001	true	100
1000000	29001	true	100
1000000	30001	true	200
1000000	30001	true	100
1000000	30001	true	100
1000000	30001	true	0
1000000	30001	true	100
1000000	30001	true	100
1000000	30001	true	100
1000000	30001	true	100
1000000	30001	true	100
1000000	30001	true	0
1000000	31001	true	200
1000000	31001	true	100
1000000	31001	true	100
1000000	31001	true	100
1000000	31001	true	100
1000000	31001	true	100
1000000	31001	true	100
1000000	31001	true	100
1000000	31001	true	100
1000000	31001	true	100
1000000	32001	true	200
1000000	32001	true	100
1000000	32001	true	100
1000000	32001	true	100
1000000	32001	true	100
1000000	32001	true	100
1000000	32001	true	100
1000000	32001	true	100
1000000	32001	true	100
1000000	32001	true	100
1000000	33001	true	200
1000000	33001	true	100
1000000	33001	true	0
1000000	33001	true	100
1000000	33001	true	100
1000000	33001	true	100
1000000	33001	true	200
1000000	33001	true	100
1000000	33001	true	100
1000000	33001	true	100
1000000	34001	true	200
1000000	34001	true	100
1000000	34001	true	100
1000000	34001	true	100
1000000	34001	true	100
1000000	34001	true	100
1000000	34001	true	100
1000000	34001	true	300
1000000	34001	true	100
1000000	34001	true	5800
1000000	35001	true	400
1000000	35001	true	200
1000000	35001	true	100
1000000	35001	true	100
1000000	35001	true	100
1000000	35001	true	100
1000000	35001	true	100
1000000	35001	true	100
1000000	35001	true	100
1000000	35001	true	300
1000000	36001	true	100
1000000	36001	true	0
1000000	36001	true	100
1000000	36001	true	0
1000000	36001	true	100
1000000	36001	true	100
1000000	36001	true	100
1000000	36001	true	0
1000000	36001	true	0
1000000	36001	true	100
1000000	37001	true	100
1000000	37001	true	100
1000000	37001	true	0
1000000	37001	true	100
1000000	37001	true	100
1000000	37001	true	0
1000000	37001	true	100
1000000	37001	true	0
1000000	37001	true	100
1000000	37001	true	100
1000000	38001	true	100
1000000	38001	true	0
1000000	38001	true	0
1000000	38001	true	0
1000000	38001	true	0
1000000	38001	true	0
1000000	38001	true	0
1000000	38001	true	0
1000000	38001	true	100
1000000	38001	true	100
1000000	39001	true	100
1000000	39001	true	100
1000000	39001	true	0
1000000	39001	true	100
1000000	39001	true	0
1000000	39001	true	0
1000000	39001	true	100
1000000	39001	true	0
1000000	39001	true	100
1000000	39001	true	0
1000000	40001	true	100
1000000	40001	true	100
1000000	40001	true	0
1000000	40001	true	100
1000000	40001	true	100
1000000	40001	true	100
1000000	40001	true	100
1000000	40001	true	0
1000000	40001	true	100
1000000	40001	true	0
1000000	41001	true	0
1000000	41001	true	0
1000000	41001	true	100
1000000	41001	true	0
1000000	41001	true	0
1000000	41001	true	0
1000000	41001	true	100
1000000	41001	true	0
1000000	41001	true	100
1000000	41001	true	100
1000000	42001	true	0
1000000	42001	true	100
1000000	42001	true	0
1000000	42001	true	100
1000000	42001	true	100
1000000	42001	true	0
1000000	42001	true	0
1000000	42001	true	0
1000000	42001	true	100
1000000	42001	true	100
1000000	43001	true	0
1000000	43001	true	100
1000000	43001	true	0
1000000	43001	true	100
1000000	43001	true	0
1000000	43001	true	100
1000000	43001	true	0
1000000	43001	true	0
1000000	43001	true	0
1000000	43001	true	100
1000000	44001	true	0
1000000	44001	true	100
1000000	44001	true	100
1000000	44001	true	0
1000000	44001	true	0
1000000	44001	true	100
1000000	44001	true	0
1000000	44001	true	0
1000000	44001	true	100
1000000	44001	true	100
1000000	45001	true	200
1000000	45001	true	100
1000000	45001	true	0
1000000	45001	true	0
1000000	45001	true	0
1000000	45001	true	100
1000000	45001	true	0
1000000	45001	true	0
1000000	45001	true	100
1000000	45001	true	0
1000000	46001	true	100
1000000	46001	true	100
1000000	46001	true	0
1000000	46001	true	0
1000000	46001	true	100
1000000	46001	true	0
1000000	46001	true	100
1000000	46001	true	0
1000000	46001	true	0
1000000	46001	true	100
1000000	47001	true	200
1000000	47001	true	100
1000000	47001	true	0
1000000	47001	true	100
1000000	47001	true	100
1000000	47001	true	100
1000000	47001	true	0
1000000	47001	true	0
1000000	47001	true	100
1000000	47001	true	0
1000000	48001	true	100
1000000	48001	true	100
1000000	48001	true	100
1000000	48001	true	0
1000000	48001	true	0
1000000	48001	true	100
1000000	48001	true	0
1000000	48001	true	0
1000000	48001	true	0
1000000	48001	true	0
1000000	49001	true	0
1000000	49001	true	0
1000000	49001	true	0
1000000	49001	true	0
1000000	49001	true	100
1000000	49001	true	0
1000000	49001	true	0
1000000	49001	true	100
1000000	49001	true	0
1000000	49001	true	100
1000000	50001	true	0
1000000	50001	true	0
1000000	50001	true	0
1000000	50001	true	100
1000000	50001	true	0
1000000	50001	true	0
1000000	50001	true	0
1000000	50001	true	0
1000000	50001	true	0
1000000	50001	true	0
1000000	51001	true	100
1000000	51001	true	100
1000000	51001	true	100
1000000	51001	true	0
1000000	51001	true	0
1000000	51001	true	100
1000000	51001	true	0
1000000	51001	true	0
1000000	51001	true	100
1000000	51001	true	0
1000000	52001	true	100
1000000	52001	true	100
1000000	52001	true	100
1000000	52001	true	0
1000000	52001	true	0
1000000	52001	true	100
1000000	52001	true	0
1000000	52001	true	100
1000000	52001	true	0
1000000	52001	true	100
1000000	53001	true	100
1000000	53001	true	0
1000000	53001	true	0
1000000	53001	true	0
1000000	53001	true	100
1000000	53001	true	0
1000000	53001	true	0
1000000	53001	true	0
1000000	53001	true	0
1000000	53001	true	100
1000000	54001	true	0
1000000	54001	true	100
1000000	54001	true	100
1000000	54001	true	0
1000000	54001	true	0
1000000	54001	true	100
1000000	54001	true	0
1000000	54001	true	0
1000000	54001	true	100
1000000	54001	true	100
1000000	55001	true	100
1000000	55001	true	100
1000000	55001	true	0
1000000	55001	true	0
1000000	55001	true	0
1000000	55001	true	100
1000000	55001	true	0
1000000	55001	true	0
1000000	55001	true	100
1000000	55001	true	100
1000000	56001	true	100
1000000	56001	true	100
1000000	56001	true	100
1000000	56001	true	100
1000000	56001	true	100
1000000	56001	true	100
1000000	56001	true	0
1000000	56001	true	0
1000000	56001	true	100
1000000	56001	true	100
1000000	57001	true	0
1000000	57001	true	100
1000000	57001	true	100
1000000	57001	true	0
1000000	57001	true	100
1000000	57001	true	100
1000000	57001	true	0
1000000	57001	true	0
1000000	57001	true	0
1000000	57001	true	0
1000000	58001	true	100
1000000	58001	true	100
1000000	58001	true	0
1000000	58001	true	100
1000000	58001	true	0
1000000	58001	true	0
1000000	58001	true	100
1000000	58001	true	100
1000000	58001	true	0
1000000	58001	true	100
1000000	59001	true	0
1000000	59001	true	100
1000000	59001	true	0
1000000	59001	true	100
1000000	59001	true	100
1000000	59001	true	0
1000000	59001	true	100
1000000	59001	true	0
1000000	59001	true	0
1000000	59001	true	100
1000000	60001	true	100
1000000	60001	true	0
1000000	60001	true	0
1000000	60001	true	100
1000000	60001	true	100
1000000	60001	true	0
1000000	60001	true	0
