m	n	result	time
1000000	1000	false	8300
1000000	1000	false	800
1000000	1000	false	500
1000000	1000	false	300
1000000	1000	false	300
1000000	1000	false	400
1000000	1000	false	300
1000000	1000	false	300
1000000	1000	false	200
1000000	1000	false	200
1000000	2000	false	900
1000000	2000	false	600
1000000	2000	false	400
1000000	2000	false	300
1000000	2000	false	300
1000000	2000	false	300
1000000	2000	false	300
1000000	2000	false	300
1000000	2000	false	300
1000000	2000	false	200
1000000	3000	false	1000
1000000	3000	false	500
1000000	3000	false	300
1000000	3000	false	400
1000000	3000	false	400
1000000	3000	false	300
1000000	3000	false	200
1000000	3000	false	200
1000000	3000	false	300
1000000	3000	false	300
1000000	4000	false	1100
1000000	4000	false	500
1000000	4000	false	300
1000000	4000	false	200
1000000	4000	false	200
1000000	4000	false	300
1000000	4000	false	200
1000000	4000	false	300
1000000	4000	false	200
1000000	4000	false	200
1000000	5000	false	700
1000000	5000	false	500
1000000	5000	false	300
1000000	5000	false	300
1000000	5000	false	300
1000000	5000	false	200
1000000	5000	false	200
1000000	5000	false	300
1000000	5000	false	300
1000000	5000	false	200
1000000	6000	false	1300
1000000	6000	false	800
1000000	6000	false	500
1000000	6000	false	700
1000000	6000	false	500
1000000	6000	false	400
1000000	6000	false	400
1000000	6000	false	400
1000000	6000	false	300
1000000	6000	false	400
1000000	7000	false	1500
1000000	7000	false	1000
1000000	7000	false	600
1000000	7000	false	500
1000000	7000	false	500
1000000	7000	false	500
1000000	7000	false	500
1000000	7000	false	400
1000000	7000	false	400
1000000	7000	false	400
1000000	8000	false	2200
1000000	8000	false	800
1000000	8000	false	600
1000000	8000	false	700
1000000	8000	false	400
1000000	8000	false	400
1000000	8000	false	300
1000000	8000	false	300
1000000	8000	false	300
1000000	8000	false	300
1000000	9000	false	1300
1000000	9000	false	800
1000000	9000	false	500
1000000	9000	false	800
1000000	9000	false	1900
1000000	9000	false	700
1000000	9000	false	600
1000000	9000	false	500
1000000	9000	false	900
1000000	9000	false	300
1000000	10000	false	1400
1000000	10000	false	500
1000000	10000	false	300
1000000	10000	false	200
1000000	10000	false	200
1000000	10000	false	100
1000000	10000	false	200
1000000	10000	false	100
1000000	10000	false	300
1000000	10000	false	200
1000000	11000	false	1000
1000000	11000	false	300
1000000	11000	false	200
1000000	11000	false	200
1000000	11000	false	100
1000000	11000	false	200
1000000	11000	false	200
1000000	11000	false	300
1000000	11000	false	300
1000000	11000	false	200
1000000	12000	false	1200
1000000	12000	false	500
1000000	12000	false	300
1000000	12000	false	200
1000000	12000	false	200
1000000	12000	false	100
1000000	12000	false	200
1000000	12000	false	100
1000000	12000	false	100
1000000	12000	false	200
1000000	13000	false	500
1000000	13000	false	200
1000000	13000	false	200
1000000	13000	false	200
1000000	13000	false	200
1000000	13000	false	2100
1000000	13000	false	200
1000000	13000	false	1200
1000000	13000	false	200
1000000	13000	false	700
1000000	14000	false	1100
1000000	14000	false	300
1000000	14000	false	100
1000000	14000	false	100
1000000	14000	false	200
1000000	14000	false	100
1000000	14000	false	100
1000000	14000	false	200
1000000	14000	false	200
1000000	14000	false	200
1000000	15000	false	500
1000000	15000	false	200
1000000	15000	false	100
1000000	15000	false	200
1000000	15000	false	200
1000000	15000	false	200
1000000	15000	false	100
1000000	15000	false	200
1000000	15000	false	100
1000000	15000	false	100
1000000	16000	false	600
1000000	16000	false	200
1000000	16000	false	100
1000000	16000	false	100
1000000	16000	false	100
1000000	16000	false	100
1000000	16000	false	100
1000000	16000	false	200
1000000	16000	false	200
1000000	16000	false	200
1000000	17000	false	500
1000000	17000	false	200
1000000	17000	false	100
1000000	17000	false	100
1000000	17000	false	100
1000000	17000	false	100
1000000	17000	false	100
1000000	17000	false	100
1000000	17000	false	200
1000000	17000	false	200
1000000	18000	false	700
1000000	18000	false	300
1000000	18000	false	400
1000000	18000	false	300
1000000	18000	false	200
1000000	18000	false	200
1000000	18000	false	200
1000000	18000	false	200
1000000	18000	false	200
1000000	18000	false	300
1000000	19000	false	700
1000000	19000	false	700
1000000	19000	false	200
