m	n	result	time
1000	1000	false	9800
1000	1000	false	900
1000	1000	false	500
1000	1000	false	300
1000	1000	false	200
1000	1000	false	200
1000	1000	false	300
1000	1000	false	300
1000	1000	false	300
1000	1000	false	200
1000	2000	false	1700
1000	2000	false	800
1000	2000	false	500
1000	2000	false	400
1000	2000	false	400
1000	2000	false	500
1000	2000	false	400
1000	2000	false	400
1000	2000	false	500
1000	2000	false	400
1000	3000	false	600
1000	3000	false	500
1000	3000	false	400
1000	3000	false	400
1000	3000	false	400
1000	3000	false	300
1000	3000	false	400
1000	3000	false	400
1000	3000	false	400
1000	3000	false	300
1000	4000	false	900
1000	4000	false	600
1000	4000	false	400
1000	4000	false	400
1000	4000	false	500
1000	4000	false	500
1000	4000	false	400
1000	4000	false	400
1000	4000	false	400
1000	4000	false	400
1000	5000	false	1700
1000	5000	false	1200
1000	5000	false	2700
1000	5000	false	600
1000	5000	false	600
1000	5000	false	700
1000	5000	false	500
1000	5000	false	600
1000	5000	false	600
1000	5000	false	600
1000	6000	false	1900
1000	6000	false	1100
1000	6000	false	800
1000	6000	false	800
1000	6000	false	700
1000	6000	false	600
1000	6000	false	600
1000	6000	false	600
1000	6000	false	500
1000	6000	false	500
1000	7000	false	2500
1000	7000	false	1600
1000	7000	false	1400
1000	7000	false	1400
1000	7000	false	1300
1000	7000	false	1300
1000	7000	false	4200
1000	7000	false	1300
1000	7000	false	1300
1000	7000	false	1600
1000	8000	false	2000
1000	8000	false	1300
1000	8000	false	1000
1000	8000	false	800
1000	8000	false	800
1000	8000	false	1100
1000	8000	false	800
1000	8000	false	700
1000	8000	false	700
1000	8000	false	700
1000	9000	false	2500
1000	9000	false	2700
1000	9000	false	1200
1000	9000	false	1600
1000	9000	false	1200
1000	9000	false	1100
1000	9000	false	2300
1000	9000	false	1000
1000	9000	false	4700
1000	9000	false	4000
1000	10000	false	15200
1000	10000	false	2500
1000	10000	false	1300
1000	10000	false	1900
1000	10000	false	2200
1000	10000	false	1900
1000	10000	false	2100
1000	10000	false	1300
1000	10000	false	2000
1000	10000	false	1700
1000	11000	false	3300
1000	11000	false	2600
1000	11000	false	2700
1000	11000	false	2500
1000	11000	false	2400
1000	11000	false	2000
1000	11000	false	2300
1000	11000	false	2600
1000	11000	false	2400
1000	11000	false	1900
1000	12000	false	3700
1000	12000	false	2400
1000	12000	false	4100
1000	12000	false	3200
1000	12000	false	3200
1000	12000	false	3700
1000	12000	false	3700
1000	12000	false	3900
1000	12000	false	3200
1000	12000	false	3200
1000	13000	false	4000
1000	13000	false	3400
1000	13000	false	3300
1000	13000	false	3200
1000	13000	false	3300
1000	13000	false	6700
1000	13000	false	3300
1000	13000	false	5300
1000	13000	false	3300
1000	13000	false	3200
1000	14000	false	3600
1000	14000	false	1900
1000	14000	false	1600
1000	14000	false	2600
1000	14000	false	1500
1000	14000	false	900
1000	14000	false	2600
1000	14000	false	2600
1000	14000	false	2800
1000	14000	false	2100
1000	15000	false	5600
1000	15000	false	4700
1000	15000	false	4200
1000	15000	false	3600
1000	15000	false	5200
1000	15000	false	4100
1000	15000	false	4600
1000	15000	false	4500
1000	15000	false	4300
1000	15000	false	3800
1000	16000	false	4900
1000	16000	false	3800
1000	16000	false	3400
1000	16000	false	4000
1000	16000	false	17600
1000	16000	false	3600
1000	16000	false	3600
1000	16000	false	4100
1000	16000	false	3800
1000	16000	false	3900
1000	17000	false	3500
1000	17000	false	2600
1000	17000	false	4100
1000	17000	false	4300
1000	17000	false	4200
1000	17000	false	4100
1000	17000	false	6200
1000	17000	false	4200
1000	17000	false	4200
1000	17000	false	4200
1000	18000	false	3400
1000	18000	false	3800
1000	18000	false	4800
1000	18000	false	2500
1000	18000	false	4600
1000	18000	false	4300
1000	18000	false	3400
1000	18000	false	4100
1000	18000	false	4700
1000	18000	false	4700
1000	19000	false	5600
1000	19000	false	5600
1000	19000	false	5200
1000	19000	false	5000
1000	19000	false	4900
1000	19000	false	4600
1000	19000	false	5600
1000	19000	false	5800
1000	19000	false	5100
1000	19000	false	4200
1000	20000	false	5700
1000	20000	false	5400
1000	20000	false	4900
1000	20000	false	4800
1000	20000	false	4300
1000	20000	false	6100
1000	20000	false	22900
1000	20000	false	4000
1000	20000	false	18000
1000	20000	false	3600
1000	21000	false	5400
1000	21000	false	4800
1000	21000	false	4600
1000	21000	false	4600
1000	21000	false	4600
1000	21000	false	4600
1000	21000	false	4500
1000	21000	false	4400
1000	21000	false	20200
1000	21000	false	2300
1000	22000	false	3500
1000	22000	false	4600
1000	22000	false	5600
1000	22000	false	4300
1000	22000	false	3400
1000	22000	false	7100
1000	22000	false	3500
1000	22000	false	1900
1000	22000	false	6000
1000	22000	false	17600
1000	23000	false	4600
1000	23000	false	4000
1000	23000	false	3500
1000	23000	false	3300
1000	23000	false	2800
1000	23000	false	3700
1000	23000	false	4000
1000	23000	false	3600
1000	23000	false	3800
1000	23000	false	3600
1000	24000	false	5200
1000	24000	false	3600
1000	24000	false	4000
1000	24000	false	4000
1000	24000	false	3600
1000	24000	false	3300
1000	24000	false	4500
1000	24000	false	4500
1000	24000	false	4000
1000	24000	false	4500
1000	25000	false	5200
1000	25000	false	2500
1000	25000	false	5400
1000	25000	false	5600
1000	25000	false	5500
1000	25000	false	5300
1000	25000	false	18600
1000	25000	false	24200
1000	25000	false	5700
1000	25000	false	5600
1000	26000	false	32200
1000	26000	false	1800
1000	26000	false	1500
1000	26000	false	1300
1000	26000	false	1600
1000	26000	false	1800
1000	26000	false	1200
1000	26000	false	1400
1000	26000	false	1400
1000	26000	false	1400
1000	27000	false	3700
1000	27000	false	2000
1000	27000	false	1900
1000	27000	false	1700
1000	27000	false	2700
1000	27000	false	1600
1000	27000	false	1600
1000	27000	false	1700
1000	27000	false	1700
1000	27000	false	1700
1000	28000	false	3000
1000	28000	false	1600
1000	28000	false	1500
1000	28000	false	3600
1000	28000	false	1600
1000	28000	false	1700
1000	28000	false	1500
1000	28000	false	1400
1000	28000	false	1400
1000	28000	false	1400
1000	29000	false	2900
1000	29000	false	1700
1000	29000	false	1400
1000	29000	false	1500
1000	29000	false	1600
1000	29000	false	1400
1000	29000	false	1000
1000	29000	false	1300
1000	29000	false	1300
1000	29000	false	1200
1000	30000	false	2600
1000	30000	false	1200
1000	30000	false	1300
1000	30000	false	1300
1000	30000	false	1000
1000	30000	false	900
1000	30000	false	1000
1000	30000	false	1700
1000	30000	false	2600
1000	30000	false	1100
1000	31000	false	4000
1000	31000	false	1000
1000	31000	false	900
1000	31000	false	900
1000	31000	false	800
1000	31000	false	800
1000	31000	false	800
1000	31000	false	1100
1000	31000	false	900
1000	31000	false	1200
1000	32000	false	1900
1000	32000	false	700
1000	32000	false	600
1000	32000	false	500
1000	32000	false	500
1000	32000	false	500
1000	32000	false	500
1000	32000	false	500
1000	32000	false	500
1000	32000	false	500
1000	33000	false	3000
1000	33000	false	800
1000	33000	false	800
1000	33000	false	700
1000	33000	false	700
1000	33000	false	700
1000	33000	false	700
1000	33000	false	800
1000	33000	false	700
1000	33000	false	700
1000	34000	false	17100
1000	34000	false	700
1000	34000	false	600
1000	34000	false	600
1000	34000	false	500
1000	34000	false	600
1000	34000	false	600
1000	34000	false	500
1000	34000	false	500
1000	34000	false	600
1000	35000	false	3300
1000	35000	false	1000
1000	35000	false	700
1000	35000	false	700
1000	35000	false	700
1000	35000	false	800
1000	35000	false	600
1000	35000	false	700
1000	35000	false	700
1000	35000	false	700
1000	36000	false	3100
1000	36000	false	900
1000	36000	false	800
