m	n	result	time
1000000	1000	false	3500
1000000	1000	false	900
1000000	1000	false	500
1000000	1000	false	400
1000000	1000	false	400
1000000	1000	false	400
1000000	1000	false	300
1000000	1000	false	300
1000000	1000	false	300
1000000	1000	false	400
1000000	2000	true	700
1000000	2000	true	700
1000000	2000	true	400
1000000	2000	true	300
1000000	2000	true	500
1000000	2000	true	400
1000000	2000	true	300
1000000	2000	true	300
1000000	2000	true	300
1000000	2000	true	300
1000000	3000	true	800
1000000	3000	true	400
1000000	3000	true	300
1000000	3000	true	400
1000000	3000	true	200
1000000	3000	true	300
1000000	3000	true	300
1000000	3000	true	300
1000000	3000	true	200
1000000	3000	true	300
1000000	4000	true	400
1000000	4000	true	400
1000000	4000	true	200
1000000	4000	true	200
1000000	4000	true	200
1000000	4000	true	200
1000000	4000	true	200
1000000	4000	true	300
1000000	4000	true	200
1000000	4000	true	200
1000000	5000	false	800
1000000	5000	false	500
1000000	5000	false	400
1000000	5000	false	300
1000000	5000	false	300
1000000	5000	false	300
1000000	5000	false	500
1000000	5000	false	400
1000000	5000	false	300
1000000	5000	false	200
1000000	6000	true	800
1000000	6000	true	500
1000000	6000	true	300
1000000	6000	true	200
1000000	6000	true	200
1000000	6000	true	200
1000000	6000	true	200
1000000	6000	true	200
1000000	6000	true	200
1000000	6000	true	200
1000000	7000	true	800
1000000	7000	true	600
1000000	7000	true	500
1000000	7000	true	300
1000000	7000	true	300
1000000	7000	true	400
1000000	7000	true	400
1000000	7000	true	400
1000000	7000	true	400
1000000	7000	true	300
1000000	8000	true	1000
1000000	8000	true	500
1000000	8000	true	500
1000000	8000	true	400
1000000	8000	true	300
1000000	8000	true	300
1000000	8000	true	300
1000000	8000	true	300
1000000	8000	true	200
1000000	8000	true	300
1000000	9000	false	1300
1000000	9000	false	500
1000000	9000	false	400
1000000	9000	false	300
1000000	9000	false	500
1000000	9000	false	300
1000000	9000	false	300
1000000	9000	false	300
1000000	9000	false	200
1000000	9000	false	200
1000000	10000	true	700
1000000	10000	true	700
1000000	10000	true	300
1000000	10000	true	300
1000000	10000	true	200
1000000	10000	true	100
1000000	10000	true	200
1000000	10000	true	100
1000000	10000	true	100
1000000	10000	true	100
1000000	11000	true	300
1000000	11000	true	200
1000000	11000	true	200
1000000	11000	true	100
1000000	11000	true	100
1000000	11000	true	100
1000000	11000	true	100
1000000	11000	true	100
1000000	11000	true	100
1000000	11000	true	200
1000000	12000	false	600
1000000	12000	false	300
1000000	12000	false	100
1000000	12000	false	100
1000000	12000	false	100
1000000	12000	false	100
1000000	12000	false	100
1000000	12000	false	100
1000000	12000	false	100
1000000	12000	false	100
1000000	13000	true	300
1000000	13000	true	200
1000000	13000	true	200
1000000	13000	true	200
1000000	13000	true	100
1000000	13000	true	200
1000000	13000	true	200
1000000	13000	true	1200
1000000	13000	true	100
1000000	13000	true	200
1000000	14000	true	700
1000000	14000	true	400
1000000	14000	true	100
1000000	14000	true	200
1000000	14000	true	100
1000000	14000	true	100
1000000	14000	true	100
1000000	14000	true	100
1000000	14000	true	100
1000000	14000	true	100
1000000	15000	true	200
1000000	15000	true	200
1000000	15000	true	200
1000000	15000	true	200
1000000	15000	true	100
1000000	15000	true	100
1000000	15000	true	100
1000000	15000	true	100
1000000	15000	true	100
1000000	15000	true	100
1000000	16000	false	500
1000000	16000	false	300
1000000	16000	false	200
1000000	16000	false	200
1000000	16000	false	200
1000000	16000	false	200
1000000	16000	false	100
1000000	16000	false	100
1000000	16000	false	100
1000000	16000	false	200
1000000	17000	true	400
1000000	17000	true	300
1000000	17000	true	200
1000000	17000	true	100
1000000	17000	true	100
1000000	17000	true	100
1000000	17000	true	200
1000000	17000	true	100
1000000	17000	true	100
1000000	17000	true	100
1000000	18000	true	300
1000000	18000	true	200
1000000	18000	true	100
1000000	18000	true	100
1000000	18000	true	200
1000000	18000	true	100
1000000	18000	true	100
1000000	18000	true	100
1000000	18000	true	100
1000000	18000	true	100
1000000	19000	false	300
1000000	19000	false	300
1000000	19000	false	100
1000000	19000	false	200
1000000	19000	false	200
1000000	19000	false	100
1000000	19000	false	100
1000000	19000	false	100
1000000	19000	false	100
1000000	19000	false	100
1000000	20000	true	700
1000000	20000	true	400
1000000	20000	true	200
1000000	20000	true	100
1000000	20000	true	200
1000000	20000	true	100
1000000	20000	true	100
1000000	20000	true	200
1000000	20000	true	200
1000000	20000	true	100
1000000	21000	false	400
1000000	21000	false	200
1000000	21000	false	200
1000000	21000	false	100
1000000	21000	false	100
1000000	21000	false	200
1000000	21000	false	100
1000000	21000	false	200
1000000	21000	false	100
1000000	21000	false	100
1000000	22000	false	200
1000000	22000	false	200
1000000	22000	false	100
1000000	22000	false	100
1000000	22000	false	100
1000000	22000	false	100
1000000	22000	false	100
1000000	22000	false	100
1000000	22000	false	100
1000000	22000	false	100
1000000	23000	false	200
1000000	23000	false	300
1000000	23000	false	500
1000000	23000	false	700
1000000	23000	false	300
1000000	23000	false	200
1000000	23000	false	200
1000000	23000	false	100
1000000	23000	false	800
1000000	23000	false	300
1000000	24000	true	600
1000000	24000	true	400
1000000	24000	true	200
1000000	24000	true	200
1000000	24000	true	200
1000000	24000	true	200
1000000	24000	true	100
1000000	24000	true	100
1000000	24000	true	200
1000000	24000	true	200
1000000	25000	true	200
1000000	25000	true	200
1000000	25000	true	100
1000000	25000	true	200
1000000	25000	true	200
1000000	25000	true	100
1000000	25000	true	100
1000000	25000	true	100
1000000	25000	true	100
1000000	25000	true	100
1000000	26000	false	400
1000000	26000	false	300
1000000	26000	false	200
1000000	26000	false	100
1000000	26000	false	200
1000000	26000	false	500
1000000	26000	false	200
1000000	26000	false	200
1000000	26000	false	100
1000000	26000	false	500
1000000	27000	false	700
1000000	27000	false	300
1000000	27000	false	200
1000000	27000	false	200
1000000	27000	false	100
1000000	27000	false	100
1000000	27000	false	100
1000000	27000	false	100
1000000	27000	false	100
1000000	27000	false	100
1000000	28000	true	400
1000000	28000	true	300
1000000	28000	true	200
1000000	28000	true	100
1000000	28000	true	100
1000000	28000	true	200
1000000	28000	true	100
1000000	28000	true	100
1000000	28000	true	100
1000000	28000	true	100
1000000	29000	false	400
1000000	29000	false	100
1000000	29000	false	200
1000000	29000	false	100
1000000	29000	false	100
1000000	29000	false	100
1000000	29000	false	100
1000000	29000	false	100
1000000	29000	false	100
1000000	29000	false	100
1000000	30000	true	300
1000000	30000	true	200
1000000	30000	true	200
1000000	30000	true	200
1000000	30000	true	100
1000000	30000	true	100
1000000	30000	true	100
1000000	30000	true	100
1000000	30000	true	100
1000000	30000	true	100
1000000	31000	true	200
1000000	31000	true	200
1000000	31000	true	100
1000000	31000	true	100
1000000	31000	true	200
1000000	31000	true	100
1000000	31000	true	100
1000000	31000	true	100
1000000	31000	true	200
1000000	31000	true	100
1000000	32000	false	300
1000000	32000	false	200
1000000	32000	false	100
1000000	32000	false	100
1000000	32000	false	100
1000000	32000	false	100
1000000	32000	false	100
1000000	32000	false	100
1000000	32000	false	200
1000000	32000	false	100
1000000	33000	false	200
1000000	33000	false	100
1000000	33000	false	100
1000000	33000	false	100
1000000	33000	false	100
1000000	33000	false	200
1000000	33000	false	100
1000000	33000	false	100
1000000	33000	false	100
1000000	33000	false	100
1000000	34000	false	200
1000000	34000	false	100
1000000	34000	false	200
1000000	34000	false	100
1000000	34000	false	100
1000000	34000	false	100
1000000	34000	false	100
1000000	34000	false	100
1000000	34000	false	100
1000000	34000	false	500
1000000	35000	true	200
1000000	35000	true	100
1000000	35000	true	200
1000000	35000	true	100
1000000	35000	true	100
1000000	35000	true	100
1000000	35000	true	100
1000000	35000	true	100
1000000	35000	true	100
1000000	35000	true	100
1000000	36000	false	300
1000000	36000	false	100
1000000	36000	false	100
1000000	36000	false	100
1000000	36000	false	100
1000000	36000	false	100
1000000	36000	false	100
1000000	36000	false	100
1000000	36000	false	100
1000000	36000	false	100
1000000	37000	true	200
1000000	37000	true	200
1000000	37000	true	100
1000000	37000	true	200
1000000	37000	true	200
1000000	37000	true	100
1000000	37000	true	100
1000000	37000	true	100
1000000	37000	true	200
1000000	37000	true	100
1000000	38000	true	200
1000000	38000	true	100
1000000	38000	true	100
1000000	38000	true	100
1000000	38000	true	100
1000000	38000	true	100
1000000	38000	true	100
1000000	38000	true	100
1000000	38000	true	100
1000000	38000	true	100
1000000	39000	true	200
1000000	39000	true	100
1000000	39000	true	100
1000000	39000	true	3500
1000000	39000	true	200
1000000	39000	true	500
1000000	39000	true	2100
1000000	39000	true	400
1000000	39000	true	200
1000000	39000	true	200
1000000	40000	false	500
1000000	40000	false	300
1000000	40000	false	200
1000000	40000	false	200
1000000	40000	false	100
1000000	40000	false	100
1000000	40000	false	100
1000000	40000	false	100
1000000	40000	false	200
1000000	40000	false	100
1000000	41000	false	700
1000000	41000	false	400
1000000	41000	false	200
1000000	41000	false	100
1000000	41000	false	100
1000000	41000	false	100
1000000	41000	false	100
1000000	41000	false	100
1000000	41000	false	100
1000000	41000	false	100
1000000	42000	true	7000
1000000	42000	true	200
1000000	42000	true	100
1000000	42000	true	100
1000000	42000	true	100
1000000	42000	true	100
1000000	42000	true	0
1000000	42000	true	100
1000000	42000	true	0
1000000	42000	true	0
1000000	43000	false	500
1000000	43000	false	300
1000000	43000	false	100
1000000	43000	false	100
1000000	43000	false	100
1000000	43000	false	100
1000000	43000	false	100
1000000	43000	false	100
1000000	43000	false	100
1000000	43000	false	100
1000000	44000	true	400
1000000	44000	true	200
1000000	44000	true	100
1000000	44000	true	100
1000000	44000	true	100
1000000	44000	true	100
1000000	44000	true	200
1000000	44000	true	100
1000000	44000	true	100
1000000	44000	true	200
1000000	45000	false	400
1000000	45000	false	200
1000000	45000	false	200
1000000	45000	false	100
1000000	45000	false	100
1000000	45000	false	100
1000000	45000	false	100
1000000	45000	false	100
1000000	45000	false	100
1000000	45000	false	100
1000000	46000	true	300
1000000	46000	true	200
1000000	46000	true	100
1000000	46000	true	100
1000000	46000	true	100
1000000	46000	true	100
1000000	46000	true	100
1000000	46000	true	100
1000000	46000	true	100
1000000	46000	true	300
1000000	47000	true	200
1000000	47000	true	100
1000000	47000	true	100
1000000	47000	true	0
1000000	47000	true	100
1000000	47000	true	0
1000000	47000	true	0
1000000	47000	true	100
1000000	47000	true	100
1000000	47000	true	0
1000000	48000	false	300
1000000	48000	false	100
1000000	48000	false	100
1000000	48000	false	100
1000000	48000	false	0
1000000	48000	false	0
1000000	48000	false	100
1000000	48000	false	100
1000000	48000	false	100
1000000	48000	false	0
1000000	49000	true	100
1000000	49000	true	100
1000000	49000	true	100
1000000	49000	true	100
1000000	49000	true	100
1000000	49000	true	100
1000000	49000	true	0
1000000	49000	true	100
1000000	49000	true	100
1000000	49000	true	100
1000000	50000	true	100
1000000	50000	true	100
1000000	50000	true	100
1000000	50000	true	100
1000000	50000	true	0
1000000	50000	true	100
1000000	50000	true	100
1000000	50000	true	100
1000000	50000	true	100
1000000	50000	true	0
1000000	51000	false	200
1000000	51000	false	0
1000000	51000	false	100
1000000	51000	false	100
1000000	51000	false	0
1000000	51000	false	100
1000000	51000	false	100
1000000	51000	false	0
1000000	51000	false	100
1000000	51000	false	100
1000000	52000	true	100
1000000	52000	true	0
1000000	52000	true	0
1000000	52000	true	100
1000000	52000	true	0
1000000	52000	true	100
1000000	52000	true	0
1000000	52000	true	100
1000000	52000	true	100
1000000	52000	true	100
1000000	53000	true	100
1000000	53000	true	100
1000000	53000	true	100
1000000	53000	true	100
1000000	53000	true	0
1000000	53000	true	100
1000000	53000	true	0
1000000	53000	true	0
1000000	53000	true	100
1000000	53000	true	100
1000000	54000	false	100
1000000	54000	false	100
1000000	54000	false	100
1000000	54000	false	0
1000000	54000	false	0
1000000	54000	false	100
1000000	54000	false	0
1000000	54000	false	100
1000000	54000	false	0
1000000	54000	false	100
1000000	55000	false	100
1000000	55000	false	0
1000000	55000	false	100
1000000	55000	false	0
1000000	55000	false	100
1000000	55000	false	0
1000000	55000	false	100
1000000	55000	false	0
1000000	55000	false	100
1000000	55000	false	0
1000000	56000	false	100
1000000	56000	false	100
1000000	56000	false	100
1000000	56000	false	100
1000000	56000	false	0
1000000	56000	false	100
1000000	56000	false	100
1000000	56000	false	100
1000000	56000	false	100
1000000	56000	false	100
1000000	57000	true	100
1000000	57000	true	100
1000000	57000	true	100
1000000	57000	true	100
1000000	57000	true	0
1000000	57000	true	100
1000000	57000	true	0
1000000	57000	true	100
1000000	57000	true	100
1000000	57000	true	0
1000000	58000	true	100
1000000	58000	true	100
1000000	58000	true	100
1000000	58000	true	0
1000000	58000	true	100
1000000	58000	true	100
1000000	58000	true	0
1000000	58000	true	100
1000000	58000	true	0
1000000	58000	true	0
1000000	59000	false	100
1000000	59000	false	100
1000000	59000	false	100
1000000	59000	false	100
1000000	59000	false	0
1000000	59000	false	100
1000000	59000	false	0
1000000	59000	false	100
1000000	59000	false	100
1000000	59000	false	100
1000000	60000	false	100
1000000	60000	false	0
1000000	60000	false	0
1000000	60000	false	100
1000000	60000	false	0
1000000	60000	false	100
1000000	60000	false	0
1000000	60000	false	100
